"Product","Package ID","Status","Category","Tags","Strain","Vendor","Room","Available","Current price","Unit price (Inventory)","External package ID","Expiration date","Image URL","THC","THCA","CBD","CBN","Retail ID"
Rythm Runtz - 7g Popcorn Buds,1A4110300001CE9000269353,,Flower,"Hybrid, Indica, Mixed Buds",[GTI] Runtz,GTI,Backstock,30,75,75,1A4110300001CE9000269353,9/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2a1833af-0fa6-4032-aaa8-8b0ae7823947.jpg,25.50 %,28.41 %,0.00 %,0.00 %,
Rythm Mystic Mint - 3.5g,1A4110300001CE9000269354,,Flower,"Hybrid, Indica, Mixed Buds",No Strain,GTI,Vault,30,55,55,1A4110300001CE9000269354,11/22/2026,https://leaflogixmedia.blob.core.windows.net/product-image/0e895d05-5531-4dcb-a27c-53d5ca8cce83.jpg,25.50 %,28.41 %,0.00 %,0.00 %,
Rythm Remix Durban Poison Infused Preroll 1pk - 1g,1A4110300001CE9000269347,,Infused Pre-roll,"Sativa, Preroll 1g, Preroll Infused Pack",[GTI] Durban Poison,GTI,Receiving Room,25,25,25,1A4110300001CE9000269347,10/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/45c9e505-53e4-442d-b7c5-4ced54cc91d9.jpg,42.26 %,44.04 %,0.00 %,0.00 %,
Rythm Pineapple Express Liquid Diamonds AIO - 1g,1A4110300001CE9000269306,,Vapes,"Sativa, Vape 2g, AIO, Liquid Diamonds",[GTI] Pineapple Express,GTI,Backstock,25,70,70,1A4110300001CE9000269306,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c5f4b3a5-d671-480b-a1bb-59edfae2a04a.jpg,91.09 %,0.00 %,0.00 %,0.00 %,
Panda Farms GMO Root Beer Pre-Ground Flower - 14g,1A41103000089E5000004116,,Flower,Hybrid,[PF] GMO Root Beer,GSCC Management,Vault,23,120,120,1A41103000089E5000004116,6/24/2027,https://leaflogixmedia.blob.core.windows.net/product-image/b98c884e-d06b-4125-913f-ff8f0634a49c.jpg,30.97 %,34.24 %,0.00 %,0.00 %,
Panda Farms Grapes & Cream Pre-Ground Flower - 14g,1A41103000089E5000004115,,Flower,Hybrid,[PF] Grapes N Cream,GSCC Management,Vault,24,120,120,1A41103000089E5000004115,12/24/2026,https://leaflogixmedia.blob.core.windows.net/product-image/8397966b-5eb5-4004-971e-91b32fd12e82.jpg,22.89 %,24.92 %,0.00 %,0.00 %,
Panda Farms Super Boof Pre-Ground Flower - 14g,1A41103000089E5000004114,,Flower,Hybrid,[PF] Super Boof,GSCC Management,Vault,24,120,120,1A41103000089E5000004114,5/8/2027,https://leaflogixmedia.blob.core.windows.net/product-image/b3c8b7e4-e3f2-4973-a1f5-5ed5da9e39ac.jpg,28.50 %,32.18 %,0.00 %,0.00 %,
Strike Pineapple Express Vape Cartridge - 1G,1A411030000814D000007055,,Vapes,"Vape 1g, Cartridge",[GL] Pineapple Express,Green Lightning MIPS,Vault,186,36,36,1A411030000814D000007055,12/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c8b85dcf-995e-4927-80e6-cebf8425eb67.jpg,84.21 %,0.00 %,0.72 %,0.73 %,1A411030000814D000008323
Strike Thunder Punch Vape Cartridge - 1G,1A411030000814D000007054,,Vapes,"Vape 1g, Cartridge",[GL] Thunder Punch,Green Lightning MIPS,Vault,133,36,36,1A411030000814D000007054,12/17/2026,https://leaflogixmedia.blob.core.windows.net/product-image/18e0b014-237f-4e9e-a4b3-1b36c90d9b00.jpg,85.52 %,0.00 %,0.79 %,0.71 %,1A411030000814D000008546
Strike Electric Circus Vape Cartridge - 1G,1A411030000814D000007053,,Vapes,"Vape 1g, Cartridge",[GL] Electric Citrus,Green Lightning MIPS,Vault,143,36,36,1A411030000814D000007053,12/15/2026,https://leaflogixmedia.blob.core.windows.net/product-image/08b69404-cb0f-4e04-9e37-3036efee064e.jpg,85.76 %,0.00 %,0.69 %,0.00 %,1A411030000814D000008263
Strike Midnight Mist Vape Cartridge - 1G,1A411030000814D000007056,,Vapes,"Indica, Vape 1g, AIO",[GL] Midnight Mist,Green Lightning MIPS,Vault,143,36,36,1A411030000814D000007056,12/17/2026,,85.15 %,0.00 %,0.75 %,0.76 %,1A411030000814D000008335
Strike Banana Tang Vape Cartridge - 1G,1A411030000814D000007066,,Vapes,"Indica, Vape 1g, AIO",[GL] Banana Tang,Green Lightning MIPS,Vault,118,36,36,1A411030000814D000007066,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/84f649c1-47a6-4d34-8355-563f26aeb424.jpg,91.30 %,0.00 %,0.00 %,0.00 %,1A411030000814D000008120
Strike Cotton Candy Clouds Vape Cartridge - 1G,1A411030000814D000007065,,Vapes,"Indica, Vape 1g, Cartridge",[GL] Cotton Candy Clouds,Green Lightning MIPS,Vault,130,36,36,1A411030000814D000007065,12/11/2026,https://leaflogixmedia.blob.core.windows.net/product-image/834cc4b4-9a15-45f8-8903-12de54a21ac6.jpg,88.73 %,0.00 %,0.75 %,0.00 %,1A4110300005079000000557
Strike Tropicana Cookies Vape Cartridge - 1G,1A411030000814D000007063,,Vapes,"Indica, Vape 1g, Cartridge",[GL] Tropicana Cookies,Green Lightning MIPS,Vault,132,36,36,1A411030000814D000007063,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/9b99ca6f-d110-414a-8853-e6b7a09bd2d9.jpg,91.79 %,0.00 %,1.01 %,0.00 %,1A411030000814D000008086
Strike Tropicana Cookies AIO - 2G,1A411030000814D000007060,,Vapes,"Indica, Vape 1g, Cartridge",[GL] Tropicana Cookies,Green Lightning MIPS,Vault,43,70,70,1A411030000814D000007060,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/5a2b6101-049c-4627-88dd-9580828a76ba.jpg,88.79 %,0.00 %,0.59 %,0.47 %,1A411030000814D000008116
Strike Banana Tang Vape AIO - 1G,1A411030000814D000007059,,Vapes,"Indica, Vape 1g, AIO",[GL] Banana Tang,Green Lightning MIPS,Vault,37,45,45,1A411030000814D000007059,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c103d1c1-f56e-443e-b958-f954791f029a.jpg,91.99 %,0.00 %,0.00 %,0.00 %,1A411030000814D000008119
Strike Tropicana Cookies AIO - 1G,1A411030000814D000007057,,Vapes,"Indica, Vape 1g, Cartridge",[GL] Tropicana Cookies,Green Lightning MIPS,Vault,47,45,45,1A411030000814D000007057,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/70abb4a5-d24e-4a29-b785-feb5cf7f5476.jpg,90.37 %,0.00 %,0.48 %,0.47 %,1A411030000814D000008087
Strike Banana Tang Vape AIO - 2G,1A411030000814D000007062,,Vapes,"Vape 2g, AIO",[GL] Banana Tang,Green Lightning MIPS,Vault,34,70,70,1A411030000814D000007062,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/98b4d4fb-1131-4f2e-a1c4-464312bb8587.jpg,88.87 %,0.00 %,0.57 %,0.00 %,1A411030000814D000008137
Strike Grand Daddy Purp AIO - 2G,1A411030000814D000007061,,Vapes,"Indica, Vape 1g, Cartridge",[GL] Grand Daddy Purp,Green Lightning MIPS,Vault,41,70,70,1A411030000814D000007061,12/8/2026,https://leaflogixmedia.blob.core.windows.net/product-image/547b61ef-eb69-4b99-bae0-860b49c6e035.jpg,88.94 %,0.00 %,0.00 %,0.52 %,1A4110300005079000000557
Strike Grand Daddy Purp AIO - 1G,1A411030000814D000007058,,Vapes,"Vape 1g, AIO, Cartridge",[GL] Grand Daddy Purp,Green Lightning MIPS,Vault,46,45,45,1A411030000814D000007058,12/8/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a2086841-258e-4946-94f9-aa1495c693c9.jpg,88.46 %,0.00 %,0.00 %,0.48 %,1A4110300005079000000557
Strike Anytime Hybrid RSO Syringe - 1g,1A411030000814D000007052,,Concentrate,"Hybrid, RSO",[GL] Anytime Hybrid,Green Lightning MIPS,Vault,24,50,50,1A411030000814D000007052,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/721f9be6-3654-4b16-a2fb-a075f64e1c38.jpg,83.76 %,0.00 %,1.11 %,1.21 %,1A411030000814D000008117
Strike Daytime Sativa RSO Syringe - 1g,1A411030000814D000007051,,Concentrate,"Hybrid, RSO",No Strain,Green Lightning MIPS,Vault,24,50,50,1A411030000814D000007051,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b2b54184-6b16-4007-88c0-111ff97b7c8a.jpg,80.15 %,0.00 %,0.82 %,1.02 %,1A411030000814D000006967
Strike NYC Diesel Vape Cartridge - 1G,1A411030000814D000007064,,Vapes,"Indica, Vape 1g, Cartridge",[GL] NYC Diesel,Green Lightning MIPS,Vault,8,36,36,1A411030000814D000007064,12/8/2026,https://leaflogixmedia.blob.core.windows.net/product-image/bd932847-7786-492b-af77-af474fd991da.jpg,90.64 %,0.00 %,0.92 %,0.00 %,1A411030000814D000008070
Green Lightning White Burgundy Pre-Roll - 1g,1A4110300005FB5000021125,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,294,13,13,1A4110300005FB5000021125,12/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ad68973e-e28f-485e-a65b-f2354777a68d.jpg,15.62 %,17.56 %,0.00 %,0.00 %,1A4110300005FB5000021045
Black Star Lime #2 Pre-Rolls 5pk - 2.5g,1A4110300005FB5000021129,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,68,25,25,1A4110300005FB5000021129,12/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/10f26ca2-3c35-445d-a412-928b464aa599.jpg,18.96 %,20.55 %,0.00 %,0.00 %,1A4110300005FB5000020855
(Sample) Green Lightning Musk 1 Pre-Roll - 1g,1A4110300005FB5000021123,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,24,0.05,0.05,1A4110300005FB5000021123,12/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/923dbe29-1a1b-4e74-b9b1-1e4eccc45e79.jpg,16.55 %,18.56 %,0.00 %,0.00 %,1A4110300005FB5000021050
Green Lightning Musk 1 Pre-Roll - 1g,1A4110300005FB5000021124,,Pre-Rolls,Indica,No Strain,Green Lightning Cultivation,Vault,24,13,13,1A4110300005FB5000021124,12/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/97ec9f9d-48d0-4571-b243-433a74d807e2.jpg,16.55 %,18.56 %,0.00 %,0.00 %,1A4110300005FB5000021050
Green Lightning Glitter Bomb - 3.5g,1A4110300005FB5000019585,,Flower,Indica,[GL] Glitter Bomb,Green Lightning Cultivation,Receiving Room,25,45,45,1A4110300005FB5000019585,12/15/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7929988c-8019-4733-9200-08c6b4378193.jpg,23.15 %,26.04 %,0.00 %,0.00 %,1A4110300005FB5000019460
Green Lightning MAC 1 - 3.5g,1A4110300005FB5000020127,,Flower,,[GL] MAC 1,Green Lightning Cultivation,Receiving Room,25,45,45,1A4110300005FB5000020127,12/22/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ac366163-5a33-4d8c-8947-ae339d5393f5.jpg,23.66 %,26.62 %,0.00 %,0.00 %,1A4110300005FB5000019979
Green Lightning Code Red Pre-Roll - 1g,1A4110300005FB5000021128,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,22,13,13,1A4110300005FB5000021128,12/22/2026,https://leaflogixmedia.blob.core.windows.net/product-image/932faaed-f7e7-413e-8dc0-3c45c4452189.jpg,19.19 %,21.54 %,0.00 %,0.00 %,1A4110300005FB5000020656
Green Lightning Super Boof Pre-Rolls 5pk - 2.5g,1A4110300005FB5000021127,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,24,25,25,1A4110300005FB5000021127,12/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/cdfca881-24ea-408a-acdc-0cc607f9ae0c.jpg,21.22 %,23.83 %,0.00 %,0.00 %,1A4110300005FB5000021047
Green Lightning Black Star Lime #2 Pre-Roll - 1g,1A4110300005FB5000021126,,Pre-Rolls,,No Strain,Green Lightning Cultivation,Vault,22,13,13,1A4110300005FB5000021126,12/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/49adfc05-df75-4c19-aa47-f71a80cadca4.jpg,18.96 %,20.55 %,0.00 %,0.00 %,1A4110300005FB5000020854
&Shine Skywalker 1000mg Vape Cartridge - 1g,1A4110300001CE9000253713,,Vapes,,[GTI] Sour Tangie,GTI,Quarantine Room,1,45,45,1A4110300001CE9000253713,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/fc3044cb-93b5-493b-824b-3389bc165dfa.jpg,,,,,
Feelz Grape Gas - 7g,1A411030000170D000046124,,Flower,Indica,[BAN] Grape Gas,Bango,Vault,28,55,55,1A411030000170D000046124,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2b875a2e-0177-45d6-b850-ac371da9508d.jpg,26.50 %,27.64 %,0.00 %,0.00 %,
Elyon Indigo Preroll 1pk - 1.25g,1A411030000170D000046182,,Pre-Rolls,"Indica, Preroll Pack",[BAN] Indigo,Bango,Vault,41,9,9,1A411030000170D000046182,11/28/2026,https://leaflogixmedia.blob.core.windows.net/product-image/8a652084-9f6e-4e5e-ac39-2ab6d991452c.jpg,28.12 %,29.81 %,0.00 %,0.00 %,
Feelz Grape Gas - 7g,1A411030000170D000046124,,Flower,Indica,[BAN] Grape Gas,Bango,Backstock,64,55,55,1A411030000170D000046124,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2b875a2e-0177-45d6-b850-ac371da9508d.jpg,26.50 %,27.64 %,0.00 %,0.00 %,
Feelz Quandi 234A - 7g,1A411030000170D000046123,,Flower,Indica,[BAN] Quandi 234A,Bango,Vault,49,55,55,1A411030000170D000046123,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/6cbc6f41-a75c-40dc-baa7-c8f131db30ec.jpg,29.82 %,33.01 %,0.00 %,0.00 %,
Elyon Happy Hybrid Preroll 1pk - 1.25g,1A411030000170D000046118,,Pre-Rolls,"Hybrid, Preroll Pack",[BAN] Happy Hybrid,Bango,Quarantine Room,1,9,9,1A411030000170D000046118,11/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/552c3406-cee2-4f0a-9de9-257eebf8f236.jpg,28.00 %,29.37 %,0.00 %,0.00 %,
Elyon Pineapple - 3.5g,1A411030000170D000046122,,Flower,Indica,[BAN] Pineapple,Bango,Vault,27,40,40,1A411030000170D000046122,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c9f29ad4-a932-49ad-a1e7-fb381d4d2f5d.jpg,30.19 %,27.08 %,0.00 %,0.00 %,
Elyon Double Runtz - 3.5g,1A411030000170D000046121,,Flower,Indica,[BAN] Double Runtz,Bango,Vault,32,40,40,1A411030000170D000046121,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/790245fb-e594-4547-b466-cbdae3cbdef1.jpg,27.37 %,29.49 %,0.00 %,0.00 %,
Elyon Garlicane - 3.5g,1A411030000170D000046120,,Flower,Indica,[BAN] Garlicane,Bango,Vault,29,40,40,1A411030000170D000046120,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/0674d1a0-f51b-43ed-9177-7f229764415a.jpg,30.98 %,32.65 %,0.00 %,0.00 %,
Elyon Jelly Donutz - 3.5g,1A411030000170D000046119,,Flower,Indica,[BAN] Jelly Donutz,Bango,Vault,28,40,40,1A411030000170D000046119,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/088b4ec3-4150-4f4e-8bf6-d25da2610559.jpg,25.51 %,27.54 %,0.00 %,0.00 %,
The LID Buena Bacio Gelato Pop Top 1oz Shake - 28g,1A411030000170D000046125,,Flower,"Indica, Shake",[BAN] Buena Bacio,Bango,Vault,4,120,120,1A411030000170D000046125,11/28/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b1b56899-2385-45f3-9124-6d7dfffe57bc.jpg,25.57 %,26.95 %,0.00 %,0.00 %,
Bango Bites Pink Lemonade Gummies 10pk - 100mg,1A4110300007B71000019617,,Gummies,Gummies,No Strain,Bango MIPS,Vault,1,16,16,1A4110300007B71000019617,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/fe95d33f-1b65-4934-92f1-a2d4e3e77733.jpg,93.80 mg/g,0.00 mg/g,0.09 mg/g,0.00 mg/g,
Bango Bites Sour Berry Gummies 10pk - 100mg,1A4110300007B71000019615,,Gummies,Gummies,No Strain,Bango MIPS,Vault,23,16,16,1A4110300007B71000019615,8/2/2026,https://leaflogixmedia.blob.core.windows.net/product-image/4ef438e0-765e-4125-9de5-f4c7c211c803.jpg,108.77 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Broad Street Buds Comfort Black T Shirt - XL,00053,,Accessories,,No Strain,Accesory Plug,Vault,20,30,30,00053,,,,,,,
Broad Street Buds Comfort Black T Shirt - Large,00052,,Accessories,,No Strain,Accesory Plug,Vault,20,30,30,00052,,,,,,,
Broad Street Buds Comfort SeaFoam T Shirt - XL,00057,,Accessories,,No Strain,Accesory Plug,Vault,19,30,30,00057,,,,,,,
Broad Street Buds Comfort SeaFoam T Shirt - Large,00056,,Accessories,,No Strain,Accesory Plug,Vault,20,40,30,00056,,,,,,,
Broad Street Buds Comfort SeaFoam T Shirt - XXL,00058,,Accessories,,No Strain,Accesory Plug,Vault,10,30,30,00058,,,,,,,
Broad Street Buds Comfort SeaFoam T Shirt - Medium,00055,,Accessories,,No Strain,Accesory Plug,Vault,10,30,30,00055,,,,,,,
Broad Street Buds Comfort Black T Shirt - XXL,00054,,Accessories,,No Strain,Accesory Plug,Vault,10,30,30,00054,,,,,,,
Broad Street Buds Hoodie  - XXL,00062,,Accessories,,No Strain,Accesory Plug,Vault,10,40,40,00062,,,,,,,
Broad Street Buds Hoodie  - XL,00061,,Accessories,,No Strain,Accesory Plug,Vault,9,40,40,00061,,,,,,,
Broad Street Buds Hoodie  - Large,,,Accessories,,No Strain,Accesory Plug,Vault,8,40,40,,,,,,,,
Broad Street Buds Comfort Black T Shirt - Medium,00051,,Accessories,,No Strain,Accesory Plug,Vault,10,30,30,00051,,,,,,,
Broad Street Best Buds Fern Comfort T-Shirt - XL,00065,,Accessories,,No Strain,Accesory Plug,Vault,4,30,30,00065,,,,,,,
Broad Street Best Buds Fern Comfort T-Shirt - Large,00064,,Accessories,,No Strain,Accesory Plug,Vault,4,30,30,00064,,,,,,,
Broad Street Best Buds Seaglass Comfort T-Shirt - Large,00068,,Accessories,,No Strain,Accesory Plug,Vault,5,30,30,00068,,,,,,,
Broad Street Best Buds Seaglass Comfort T-Shirt - XL,00069,,Accessories,,No Strain,Accesory Plug,Vault,5,30,30,00069,,,,,,,
Broad Street Buds Hoodie  - Medium,00059,,Accessories,,No Strain,Accesory Plug,Vault,5,40,40,00059,,,,,,,
Broad Street Best Buds Seaglass Comfort T-Shirt - XXL,00070,,Accessories,,No Strain,Accesory Plug,Vault,3,30,30,00070,,,,,,,
Broad Street Best Buds Seaglass Comfort T-Shirt - Medium,00067,,Accessories,,No Strain,Accesory Plug,Vault,2,30,30,00067,,,,,,,
Broad Street Best Buds Fern Comfort T-Shirt - XXL,00066,,Accessories,,No Strain,Accesory Plug,Vault,3,30,30,00066,,,,,,,
Broad Street Best Buds Fern Comfort T-Shirt - Medium,00063,,Accessories,,No Strain,Accesory Plug,Vault,2,30,30,00063,,,,,,,
(Promo) Dank Diamonds Rose Cut Infused Preroll 2pk - 1.5g,1A4110300007B71000009842,,Infused Pre-roll,,[BAN] Rose Cut,Bango MIPS,Quarantine Room,1,0.01,0.01,1A4110300007B71000009842,9/24/2026,,41.26 %,17.91 %,0.00 %,0.26 %,
Rythm 510 Thread Battery,00050,,Accessories,510 Thread Battery,No Strain,GTI,Vault,84,10,10,00050,,https://leaflogixmedia.blob.core.windows.net/product-image/d18287b5-2036-423a-b2de-69b24a035360.jpg,,,,,
&Shine Blackberry Gummies 10pk - 100mg,1A4110300001CE9000253716,,Edibles,Gummies,No Strain,GTI,Vault,7,15,15,1A4110300001CE9000253716,11/14/2026,https://leaflogixmedia.blob.core.windows.net/product-image/e2ef5bd2-8e5e-498d-8736-a1edc2db1bb3.jpg,,,,,
Good Green Blue Zashimi - 3.5g,1A4110300001CE9000253732,,Flower,"Hybrid, Mixed Buds",[GTI] Blue Zashimi,GTI,Vault,13,40,40,1A4110300001CE9000253732,12/2/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a4954234-f35c-4926-b4c1-999436727524.jpg,,,,,
Incredibles Watermelon Smash Gummy  - 100mg,1A4110300001CE9000253717,,Gummies,Gummies,No Strain,GTI,Vault,60,15,15,1A4110300001CE9000253717,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f580e18a-a1e0-4a7a-9b17-4b5aff7370d4.jpg,,,,,
Good Green Chem Scout '87 - 3.5g,1A4110300001CE9000253736,,Flower,"Hybrid, Mixed Buds",[GTI] Chem Scout '87,GTI,Vault,29,40,40,1A4110300001CE9000253736,12/4/2026,https://leaflogixmedia.blob.core.windows.net/product-image/4826ee25-5bab-44f7-951c-2d3006e7a95e.jpg,,,,,
Good Green Tangerine Haze Mixed Buds - 3.5g,1A4110300001CE9000253728,,Flower,Indica,[GTI] Tangerine Haze,GTI,Vault,24,40,40,1A4110300001CE9000253728,12/5/2026,https://leaflogixmedia.blob.core.windows.net/product-image/1fd48330-21b0-4cde-8feb-9ab8fe6fdbc1.jpg,,,,,
Rythm Taffy Twist - 14g Mixed Buds,1A4110300001CE9000253726,,Flower,Indica,[GTI] Runtz,GTI,Vault,48,165,165,1A4110300001CE9000253726,10/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/d2858f26-e332-407b-8b30-efb8f423b4d7.jpg,,,,,
Good Green Swamp Water Fumez - 3.5g Mixed Buds,1A4110300001CE9000253734,,Flower,"Hybrid, Mixed Buds",[GTI] SWF,GTI,Vault,9,40,40,1A4110300001CE9000253734,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/1520c022-bc94-45a3-ab30-4a110707b6dd.jpg,,,,,
Incredibles Sour Blue Razzberry Gummies 1:1 THC:CBG - 100mg,1A4110300001CE9000253708,,Edibles,Gummies,No Strain,GTI,Vault,4,15,15,1A4110300001CE9000253708,12/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/d7b2eb66-d08e-4ed7-84fb-6e0f7c648d6a.jpg,,,,,
Good Green Gazzurple - 7g Mixed Buds,1A4110300001CE9000253720,,Flower,"Hybrid, Mixed Buds",[GTI] Gazzurple,GTI,Vault,24,65,65,1A4110300001CE9000253720,10/31/2026,https://leaflogixmedia.blob.core.windows.net/product-image/080e342c-302b-42db-8a30-e0ae5e871d71.jpg,,,,,
Good Green Garlic Drip - 7g Mixed Buds,1A4110300001CE9000253722,,Flower,"Indica, Mixed Buds",[GTI] Garlic Drip,GTI,Receiving Room,50,65,65,1A4110300001CE9000253722,10/31/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7e5a4196-2b51-45f5-a16f-947f2c515346.jpg,,,,,
Good Green Fantasy Melonz - 3.5g,1A4110300001CE9000253727,,Flower,"Hybrid, Mixed Buds",[GTI] Fantasy Melonz,GTI,Vault,25,40,40,1A4110300001CE9000253727,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f00198a7-e1d7-42b9-a274-a52d942861bb.jpg,,,,,
Good Green Lemon Drip - 14g Mixed Buds,1A4110300001CE9000253721,,Flower,"Indica, Mixed Buds",[GTI] Lemon Drip,GTI,Vault,50,120,120,1A4110300001CE9000253721,11/15/2026,https://leaflogixmedia.blob.core.windows.net/product-image/29bfd5d4-79c9-4a63-949c-354b976164e2.jpg,,,,,
Rythm Kush Mountains 1000mg Cartridge - 1g,1A4110300001CE9000253706,,Vapes,"Hybrid, Vape 1g",[GTI] Northern Lights,GTI,Vault,47,67,67,1A4110300001CE9000253706,11/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/176877d3-dcdc-40ce-a6f7-68a0785889cf.jpg,,,,,
Good Green Black Maple - 7g Mixed Buds,1A4110300001CE9000253719,,Flower,"Indica, Mixed Buds",[GTI] Black Maple,GTI,Vault,19,65,65,1A4110300001CE9000253719,10/8/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b2d05bc5-2317-4c38-9eb8-699d153d882a.jpg,,,,,
Rythm Brownie Scout - 3.5g,1A4110300001CE9000253733,,Flower,"Hybrid, Mixed Buds",[GTI] Brownie Scout,GTI,Vault,22,55,40,1A4110300001CE9000253733,11/29/2026,https://leaflogixmedia.blob.core.windows.net/product-image/49fb5f20-8d1b-4f6d-8ae7-ae7f1705090c.jpg,,,,,
Rythm Animal Scout - 3.5g,1A4110300001CE9000253724,,Flower,"Hybrid, Mixed Buds",[GTI] Animal Scout,GTI,Vault,26,55,40,1A4110300001CE9000253724,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f378eff0-1e56-4dc9-bc66-4fa3306807c8.jpg,,,,,
Rythm Animal Scout #10 - 3.5g,1A4110300001CE9000253729,,Flower,"Hybrid, Mixed Buds",[GTI] Animal Scout #10,GTI,Vault,9,55,40,1A4110300001CE9000253729,9/18/2026,https://leaflogixmedia.blob.core.windows.net/product-image/565bff5b-61d8-4712-b1b1-2d8282ec5a7c.jpg,,,,,
Rythm Animal Face - 3.5g,1A4110300001CE9000253725,,Flower,"Hybrid, Mixed Buds",[GTI] Animal Face,GTI,Vault,7,55,40,1A4110300001CE9000253725,11/18/2026,https://leaflogixmedia.blob.core.windows.net/product-image/df426099-f4e0-46c1-8ae0-aa3d2ff1efff.jpg,,,,,
Rythm VelcroZ Live Resin Cartridge- 1g,1A4110300001CE9000253709,,Vapes,"Sativa, Vape 2g, AIO, Liquid Diamonds",[GTI] VelcroZ,GTI,Vault,25,70,70,1A4110300001CE9000253709,12/5/2026,https://leaflogixmedia.blob.core.windows.net/product-image/3409a845-a1e8-4c67-ab2a-578e8dafbbf9.jpg,,,,,
&Shine Skywalker 1000mg Vape Cartridge - 1g,1A4110300001CE9000253713,,Vapes,"Hybrid, Vape 1g",[GTI] Sour Tangie,GTI,Vault,13,45,45,1A4110300001CE9000253713,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/fc3044cb-93b5-493b-824b-3389bc165dfa.jpg,,,,,
&Shine Pineapple Orange 1000mg Vape Cartridge - 1g,1A4110300001CE9000253715,,Vapes,"Hybrid, Vape 1g, Cartridge",[GTI] Pineapple Orange,GTI,Vault,14,45,45,1A4110300001CE9000253715,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f18545dc-4176-45b3-b904-a6a523d76302.jpg,,,,,
Good Green Chem Scout '87 - 14g Mixed Buds,1A4110300001CE9000253723,,Flower,"Hybrid, Mixed Buds",[GTI] Chem Scout '87,GTI,Vault,7,120,120,1A4110300001CE9000253723,12/6/2026,https://leaflogixmedia.blob.core.windows.net/product-image/e5482d7a-b786-4820-b523-ec3c5e2924d6.jpg,,,,,
Good Green Black Afghan - 14g Mixed Buds,1A4110300001CE9000253730,,Flower,"Hybrid, Mixed Buds",[GTI] Black Afghan,GTI,Vault,11,120,120,1A4110300001CE9000253730,12/6/2026,https://leaflogixmedia.blob.core.windows.net/product-image/47accb95-82e6-4c95-a5b0-491b84282318.jpg,,,,,
Incredibles Summer Peach (7:1 THC:CBD) AIO Vape - 1g,1A4110300001CE9000253707,,Vapes,Vape 1g,No Strain,GTI,Vault,19,50,50,1A4110300001CE9000253707,11/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ca1251c1-5da5-4f3b-8ab1-6ac2824a60ce.jpg,,,,,
